"trade_date","open","high","low","close","vol"
"20161207","327.12","328.5","323.97","327.45","25271.74"
"20161206","316.23","326.58","316.23","326.42","38923.09"
"20161205","319.2","324.54","315.82","315.93","42060.81"
"20161202","321","323.2","319","321.77","30628.33"
"20161201","320","324.59","318.68","321.02","27941.82"
"20161130","321.22","323.3","318.45","319.08","26752.37"
"20161129","320.7","330.45","319.41","323.96","58830.62"
"20161128","317.55","320.18","316.6","319.5","49253.01"
"20161125","317.04","318","313.42","316.89","22369.67"
"20161124","313.2","317","311.42","316.93","39078.7"
"20161123","311","313","309.11","312.95","34015.04"
"20161122","310.3","310.45","308.37","308.87","26424.27"
"20161121","311.02","311.66","308.37","309.5","26083.84"
"20161118","311.16","311.8","309.88","310","19377.69"
"20161117","312.08","313","310.53","311.04","18337.76"
"20161116","313.81","315.4","312","313.15","13399.81"
"20161115","310.03","315.65","310.03","314.01","24470.55"
"20161114","315.55","315.87","309.99","310.99","39920.49"
"20161111","317.99","318.3","314.8","315.08","35902.65"
"20161110","319.1","321","317.73","319.13","17804.96"
"20161109","320","321.97","313.8","316.81","30004.49"
"20161108","316.5","322.18","315.68","320","34193.83"
"20161107","315","317","313.2","315.33","16047.8"
"20161104","315.99","318.25","313.98","314.82","20619.27"
"20161103","315","316.46","314.15","315.86","18690.81"
"20161102","316.09","317.16","313.68","315.18","20636.42"
"20161101","317.95","319","315.55","316.68","19512.39"
"20161031","319","322.8","316.8","317.95","43596.1"
"20161028","317.5","318.43","314","317.05","20137.33"
"20161027","312.99","318.22","311.01","316.87","32951.62"
"20161026","313","318.31","311.65","313.68","46813.07"
"20161025","307.39","313","307.39","312.94","43762.39"
"20161024","302.6","307","302.6","306.93","26246.52"
"20161021","305.08","305.48","302.59","304.19","11483.32"
"20161020","307.39","307.39","304.8","305.48","14079.92"
"20161019","308.5","308.75","305.1","306.45","14123.28"
"20161018","302.5","308.5","302","307.16","30389.31"
"20161017","305.45","305.5","301.5","302.45","18957.03"
"20161014","303.47","306","303.2","305.6","12690.92"
"20161013","306.8","306.94","303.51","303.89","16143.98"
"20161012","308.5","308.5","304.9","305.82","19286.02"
"20161011","304","309","303","308.92","41736.75"
"20161010","298.51","303.86","298.51","302.96","21103.62"
"20160930","290","299.63","290","297.91","29603.5"
"20160929","287.85","293","287.85","290.98","23705.69"
"20160928","291.79","291.79","287.56","288.41","22360.01"
"20160927","288.88","291.98","288.76","291.17","17915.82"
"20160926","297","297.01","288.55","288.73","37176.08"
"20160923","297.02","298.95","295.4","297.68","12671.9"
"20160922","294.3","299.98","294.01","296.98","29606.17"
"20160921","295.06","295.39","289.11","294.05","39037.23"
"20160920","300.78","300.8","294","294.96","34892.6"
"20160919","300.05","301.57","299.88","300.13","12852.1"
"20160914","300.1","302.2","298.01","299.57","18527.65"
"20160913","299.95","300.97","299.3","300.43","16255.88"
"20160912","302","304","297.77","298.06","38238.81"
"20160909","306.65","306.86","304","304.63","16222.51"
"20160908","305.21","306.5","304.41","305.82","16705.78"
"20160907","309.68","309.68","305.5","306.6","29645.15"
"20160906","308.5","310.36","308.35","309.94","20625.83"
"20160905","306.2","309","305.81","308.5","19138.7"
"20160902","308","309.45","304.88","305.78","18572.24"
"20160901","309.7","312","308.25","308.71","17185.97"
"20160831","306.7","310.76","305.54","310.19","40401.44"
"20160830","307","308.5","304.67","305.86","21170.52"
"20160829","308","308.8","305.2","307.53","38055.57"
"20160826","303.14","304.55","300.4","301.45","21436.45"
"20160825","305.2","305.38","300.07","303.01","25362.58"
"20160824","307.02","307.49","303.83","305.28","22779.42"
"20160823","307.33","309.04","305.8","306.88","19914.26"
"20160822","306.13","309.58","306","307.32","20812.7"
"20160819","305.8","307.45","304.8","306.48","19140.91"
"20160818","307.95","309.65","305.13","306.43","31005.99"
"20160817","309.6","310.97","306.5","308.16","43754.06"
"20160816","322","322.48","308","309.52","88378.69"
"20160815","315.8","321.69","314.15","318.78","34110.13"
"20160812","317.4","317.4","314.01","316.97","23352.83"
"20160811","314.38","321.57","314.01","316.77","31939.72"
"20160810","315.05","316.5","313.33","313.81","20944.71"
"20160809","308.17","317.67","306.42","315.75","39289.67"
"20160808","306.15","308.3","303.06","308.1","22007.4"
"20160805","306.49","308.37","305.03","305.93","20308.48"
"20160804","306.85","308.33","304.22","306.3","21793.64"
"20160803","307","307.9","304.15","306.82","24039.07"
"20160802","307.25","310.5","302.85","306.21","26541.42"
"20160801","313","313.95","305","306.96","31701.85"
"20160729","315.08","318.88","313","313.15","29007.37"
"20160728","312","319.3","311.5","316.05","39643.99"
"20160727","319.85","320.6","308.3","314.01","39228.06"
"20160726","309.01","319.5","308.5","319.04","35555.67"
"20160725","307.6","314.19","307","311.26","23623.53"
"20160722","312.9","315.2","307.38","307.92","28871.45"
"20160721","310.15","317.6","309","314.38","33009.49"
"20160720","308.62","310.87","307.5","308.56","17733.84"
"20160719","315.5","316.3","305.55","308.11","41431.66"
"20160718","317.5","319.5","315.66","316.21","23352.89"
"20160715","317.12","318.03","315.06","317.52","26811.01"
"20160714","316.09","320.8","315.2","317.09","29230.85"
"20160713","323.03","324.73","315.05","317.19","53448.28"
"20160712","315.76","326.6","315","324.73","53119.45"
"20160711","309.03","324","309.03","315.14","57481.67"
"20160708","313.53","315.5","306.16","309.91","45545.63"
"20160707","315.8","326.8","312.08","316.91","50725.2"
"20160706","299.8","318","299.01","317.19","47347.7"
